player,season,team,goals_z,xg_z,crosses_z,boxtouches_z,passes_z,progpasses_z,takeons_z,progruns_z,tackles_z,interceptions_z,clearances_z,blocks_z,aerials_z,fouls_z,fouled_z,nsxg_z
Sirajeddine Chihi,1998,Tunisia,-0.42,-0.24,-0.02,0.53,1.21,0.54,-0.26,0.62,0.23,0.83,0.45,-0.13,0.08,1.52,0.07,-0.08
Skander Souayah,1998,Tunisia,1.64,4.45,1.89,-0.04,1.29,0.54,-0.26,2.03,0.64,-0.55,-0.47,-0.54,-0.75,-0.0,0.07,2.43
Tarek Thabet,1998,Tunisia,-0.42,-0.55,0.62,-0.04,-0.53,0.41,-0.26,-0.08,-0.87,-0.7,-0.47,-0.54,-0.33,-0.77,-0.7,0.49
Zoubéir Baya,1998,Tunisia,-0.42,0.24,-0.02,0.11,0.02,0.29,-0.74,1.56,0.15,0.66,-0.34,-0.13,-0.75,0.38,-0.7,-0.0
Brad Friedel,1998,USA,-0.42,-0.68,-0.66,-0.74,-1.09,-0.28,-0.74,-1.02,-0.99,-1.03,-0.73,-0.54,-0.75,-1.15,-0.7,-0.9
Brian Maisonneuve,1998,USA,-0.42,-0.24,-0.02,-0.18,0.45,-0.16,-0.74,0.15,1.24,0.36,-0.47,-0.54,-0.75,-0.39,-0.32,-0.04
Brian McBride,1998,USA,1.64,0.02,-0.66,4.34,-0.74,-1.11,-0.74,-0.78,-0.99,-0.11,-0.73,-0.54,3.79,0.38,0.84,1.05
Chad Deering,1998,USA,-0.42,-0.59,-0.66,-0.74,-1.09,-0.98,-0.74,-1.02,-0.33,-0.61,-0.47,-0.54,0.08,-0.0,-0.32,-0.6
Claudio Reyna,1998,USA,-0.42,1.69,2.53,1.38,2.94,0.67,0.7,2.96,-0.36,2.62,-0.47,-0.54,-0.33,1.52,2.38,2.77
Cobi Jones,1998,USA,-0.42,0.72,2.53,0.81,0.93,0.67,1.18,2.96,0.24,0.52,-0.6,-0.54,-0.33,-0.0,1.99,1.46
David Regis,1998,USA,-0.42,-0.5,-0.02,0.11,1.19,0.99,-0.74,1.32,-0.17,1.59,2.67,1.98,0.49,1.14,1.61,0.19
Earnie Stewart,1998,USA,-0.42,-0.11,0.62,0.39,0.66,-0.03,-0.26,-0.55,-0.43,0.17,-0.73,-0.54,0.49,-0.77,0.84,0.64
Eddie Pope,1998,USA,-0.42,-0.68,-0.66,-0.74,0.25,0.16,-0.74,-0.78,0.34,0.25,0.97,-0.54,0.49,1.14,1.22,-0.9
Eric Wynalda,1998,USA,-0.42,-0.68,-0.02,-0.74,-1.12,-1.11,0.22,0.15,-0.99,-0.43,-0.6,-0.54,-0.33,-0.0,-0.7,-0.6
Frankie Hejduk,1998,USA,-0.42,0.77,0.62,1.09,0.78,0.29,1.18,2.73,2.99,0.04,-0.21,1.27,-0.33,-0.77,2.76,-0.3
Joe-Max Moore,1998,USA,-0.42,0.81,3.17,0.81,0.71,0.22,-0.74,1.79,2.06,-0.5,-0.73,-0.54,-0.33,-0.0,-0.32,1.76
Kasey Keller,1998,USA,-0.42,-0.68,-0.66,-0.74,-0.66,0.48,-0.74,-0.78,-0.99,-1.03,-0.47,-0.54,-0.75,-1.15,-1.08,-0.9
Mike Burns,1998,USA,-0.42,-0.68,-0.66,-0.6,0.2,0.48,-0.74,-0.31,0.65,-0.25,0.05,0.79,-0.33,-0.0,-0.7,-0.41
Preki Radosavljevic,1998,USA,-0.42,0.07,-0.02,-0.18,-0.86,-0.85,0.22,-0.08,-0.58,-1.03,-0.73,-0.54,-0.75,-1.15,-0.7,-0.19
Roy Wegerle,1998,USA,-0.42,-0.68,-0.02,-0.18,-0.71,-1.11,-0.74,-0.78,-0.43,-1.03,-0.73,-0.54,-0.75,-0.77,-1.08,-0.68
Tab Ramos,1998,USA,-0.42,-0.46,-0.66,-0.74,-0.56,-0.66,-0.26,-0.31,-0.99,-0.5,-0.73,-0.54,-0.33,-1.15,-0.7,-0.53
Thomas Dooley,1998,USA,-0.42,-0.2,-0.66,0.53,0.99,0.35,0.22,-0.31,2.91,1.03,0.97,0.79,0.49,-0.77,-1.08,-0.56
Branko Brnovic,1998,Yugoslavia,-0.42,-0.68,-0.66,-0.53,-0.5,-0.99,-0.74,-1.02,-0.25,-0.5,-0.54,-0.54,-0.44,-0.86,0.07,-0.53
Darko Kovacevic,1998,Yugoslavia,-0.42,-0.18,-0.66,-0.32,-1.24,-1.09,-0.38,-0.84,-0.67,-1.03,-0.73,-0.54,-0.13,-0.58,-0.8,-0.9
Dejan Savicevic,1998,Yugoslavia,-0.42,-0.45,-0.66,-0.64,-1.21,-0.8,-0.74,-0.66,-0.8,-1.03,-0.73,-0.54,-0.75,-0.86,-1.08,-0.62
Dejan Stankovic,1998,Yugoslavia,-0.42,-0.35,0.3,-0.21,-0.75,-0.57,-0.74,-0.14,-0.02,-0.32,-0.44,-0.54,-0.75,0.57,-0.8,-0.45
Dragan Stojkovic,1998,Yugoslavia,1.12,0.51,3.17,0.0,0.58,0.15,0.34,1.09,-0.06,-0.72,-0.54,-0.38,-0.13,0.28,1.51,1.66
Goran Djorovic,1998,Yugoslavia,-0.42,-0.61,-0.66,-0.21,0.26,0.15,-0.02,-0.49,-0.06,-0.49,3.2,2.33,1.11,0.85,1.51,-0.87
Ivica Kralj,1998,Yugoslavia,-0.42,-0.68,-0.66,-0.74,-0.58,0.48,-0.74,-0.31,-0.99,-1.03,-0.54,-0.54,-0.75,-1.15,-1.08,-0.9
Perica Ognjenovic,1998,Yugoslavia,-0.42,-0.45,-0.18,0.64,-1.09,-1.04,1.42,0.56,-0.15,-0.67,-0.73,-0.54,-0.75,-0.29,-0.8,-0.23
Predrag Mijatovic,1998,Yugoslavia,1.12,2.93,-0.66,1.38,-0.75,-0.99,1.06,0.21,-0.29,-0.9,-0.73,-0.54,-0.44,-0.29,3.24,-0.25
Savo Milosevic,1998,Yugoslavia,-0.42,0.05,-0.66,-0.11,-1.04,-1.09,-0.38,-0.66,-0.99,-1.03,-0.73,-0.54,-0.44,-0.0,-0.22,-0.62
Sinisa Mihajlovic,1998,Yugoslavia,1.12,0.83,0.3,-0.74,0.58,1.38,-0.74,0.91,0.73,0.56,2.81,0.51,0.8,0.57,0.65,1.07
Slavisa Jokanovic,1998,Yugoslavia,-0.42,-0.58,-0.66,-0.11,1.15,-0.09,-0.02,0.39,0.08,0.35,0.54,0.51,1.11,0.85,0.93,-0.39
Slobodan Komljenovic,1998,Yugoslavia,2.67,-0.09,-0.66,-0.42,0.24,0.53,-0.74,0.39,-0.39,0.17,0.84,0.21,-0.44,-0.86,0.07,-0.84
Vladimir Jugovic,1998,Yugoslavia,-0.42,0.7,-0.66,-0.11,0.37,0.62,2.86,3.2,0.63,0.31,0.15,-0.54,-0.13,0.28,1.51,0.22
Zeljko Petrovic,1998,Yugoslavia,-0.42,-0.41,1.73,-0.64,0.96,0.86,-0.74,1.27,0.91,-0.09,0.25,-0.54,-0.44,0.57,0.65,0.42
Zoran Mirkovic,1998,Yugoslavia,-0.42,-0.68,-0.18,-0.74,-0.1,0.48,-0.74,-0.66,-0.53,-1.03,0.94,0.51,-0.44,-0.58,0.07,-0.84
Abel Balbo,1994,Argentina,0.93,2.21,0.47,3.2,0.51,-0.22,2.6,0.4,0.8,0.68,-0.55,0.59,-0.66,-0.54,1.15,3.6
Alejandro Mancuso,1994,Argentina,-0.39,-0.62,-0.6,-0.73,-1.1,-1.13,-0.82,-0.72,-0.69,-0.87,-0.72,-0.58,-0.66,-1.18,-0.78,-0.88
Ariel Ortega,1994,Argentina,-0.39,-0.2,2.62,0.94,-0.42,-0.44,2.34,0.4,-0.67,-0.3,-0.72,-0.58,-0.66,0.41,1.79,3.79
Claudio Caniggia,1994,Argentina,2.24,1.34,-0.6,0.94,-0.67,-0.96,0.49,-0.4,-0.63,-0.63,-0.72,-0.58,-0.16,-0.22,1.47,0.28
Diego Maradona,1994,Argentina,0.93,-0.3,2.62,0.34,0.37,0.73,2.07,0.4,0.6,-0.39,-0.72,-0.58,-0.66,-0.86,3.07,2.46
Diego Simeone,1994,Argentina,-0.39,0.31,0.47,0.34,3.06,2.21,2.34,0.57,0.86,1.64,-0.22,-0.58,0.84,-0.86,0.83,1.94
Fernando Cáceres,1994,Argentina,-0.39,-0.33,-0.6,-0.49,1.19,0.95,-0.56,0.08,3.55,2.37,0.95,3.41,1.34,2.32,-0.46,-0.53
Fernando Redondo,1994,Argentina,-0.39,0.25,0.47,0.7,4.31,1.3,4.97,4.11,3.0,3.11,-0.39,-0.58,0.84,2.64,1.47,1.8
Gabriel Batistuta,1994,Argentina,4.87,7.85,0.47,3.92,-0.23,-1.04,-0.82,-0.4,-0.33,-0.56,-0.39,-0.58,-0.66,0.73,2.43,1.07
Hernan Diaz,1994,Argentina,-0.39,-0.49,-0.6,-0.61,-0.81,-0.7,-0.56,-0.4,0.3,-0.62,-0.72,-0.58,-0.66,-0.54,-0.78,-0.8
José Basualdo,1994,Argentina,-0.39,-0.46,1.01,-0.14,-0.53,-0.35,-0.3,-0.24,-0.61,0.08,-0.72,-0.58,-0.66,-0.22,-1.1,0.23
José Chamot,1994,Argentina,-0.39,-0.53,0.47,0.22,1.25,1.3,2.86,1.69,1.93,3.37,-0.39,-0.58,0.34,0.41,1.15,0.23
Leonardo Rodriguez,1994,Argentina,-0.39,-0.46,-0.06,-0.61,-1.05,-0.91,-0.3,-0.72,-0.39,-0.62,-0.72,-0.58,-0.16,-0.86,0.51,-0.31
Luis Islas,1994,Argentina,-0.39,-0.62,-0.6,-0.73,-0.36,0.52,-0.56,-0.88,-0.63,-0.87,-0.39,-0.58,-0.66,-1.18,-0.78,-0.88
Nestor Sensini,1994,Argentina,-0.39,-0.43,-0.6,-0.49,0.6,0.47,-0.56,0.24,0.69,0.7,-0.22,2.07,0.34,-0.86,0.51,-0.64
Oscar Ruggeri,1994,Argentina,-0.39,0.44,-0.6,1.29,0.86,0.56,-0.82,-0.08,0.93,0.58,0.12,2.44,1.34,0.09,-1.1,-0.64
Ramón Medina Bello,1994,Argentina,-0.39,-0.2,-0.06,0.34,-1.22,-1.0,-0.56,-1.04,-0.97,-0.87,-0.72,-0.58,-0.66,-1.18,-0.46,0.37
Danny Boffin,1994,Belgium,-0.39,-0.43,1.55,-0.14,0.32,0.99,-0.3,1.53,-0.19,0.23,-0.55,0.54,-0.16,-0.86,-0.46,1.15
Dirk Medved,1994,Belgium,-0.39,-0.59,-0.6,-0.73,-0.7,-0.35,-0.82,-0.08,-0.2,-0.04,-0.55,-0.58,-0.66,-1.18,-1.1,-0.56
Enzo Scifo,1994,Belgium,-0.39,0.92,3.16,0.58,2.04,1.73,4.18,3.95,2.35,1.33,-0.22,-0.58,-0.16,1.36,1.15,3.46
Franky Van Der Elst,1994,Belgium,-0.39,-0.24,-0.06,-0.49,2.24,0.78,1.55,0.4,2.34,1.01,0.28,2.75,0.84,1.68,2.75,1.13
Georges Serge Grün,1994,Belgium,0.93,0.31,-0.06,0.46,0.43,0.34,-0.82,1.21,0.95,0.74,0.12,0.44,0.34,0.41,0.51,-0.01
Josip Weber,1994,Belgium,-0.39,3.11,-0.6,3.32,-0.96,-1.04,-0.56,-0.56,-0.32,-0.87,-0.72,-0.58,0.34,-1.18,1.15,-0.75
Lorenzo Staelens,1994,Belgium,-0.39,0.37,1.55,0.34,0.51,0.65,0.49,0.57,-0.47,1.79,-0.22,1.9,0.34,0.41,1.79,2.1
Luc Nilis,1994,Belgium,-0.39,0.5,1.55,3.2,-0.59,-0.83,-0.3,-0.56,-0.73,-0.87,-0.72,-0.58,0.34,-0.86,-0.78,2.59
Marc Degryse,1994,Belgium,0.93,0.66,1.01,0.58,-0.59,-1.04,-0.56,-0.4,-0.02,-0.87,-0.72,-0.58,-0.66,-0.86,1.15,0.23
Marc Jozef Emmers,1994,Belgium,-0.39,-0.59,1.55,-0.73,-0.1,0.6,0.49,-0.08,0.84,-0.03,0.12,0.54,0.34,-0.54,0.83,0.61
Marc Wilmots,1994,Belgium,-0.39,0.18,-0.06,0.34,-1.22,-1.04,-0.82,-1.04,-0.97,-0.87,-0.72,-0.58,-0.16,-1.18,-0.46,-0.42
Michel De Wolf,1994,Belgium,-0.39,-0.62,-0.6,-0.73,2.35,2.34,-0.56,1.21,2.72,2.12,1.29,2.69,-0.16,-0.22,0.51,-0.1
Michel Preud'homme,1994,Belgium,-0.39,-0.62,-0.6,-0.73,-0.03,1.73,-0.82,-0.88,-0.97,-0.87,-0.55,-0.58,-0.66,-1.18,-0.78,-0.5
Philiipe Albert,1994,Belgium,2.24,0.6,0.47,1.65,0.02,0.47,-0.03,-0.08,-0.15,1.15,0.95,2.2,-0.66,0.41,-0.14,2.24
Rudi Smidts,1994,Belgium,-0.39,-0.56,-0.06,-0.37,0.15,0.04,-0.3,-0.24,0.66,1.73,0.12,2.75,-0.66,1.36,0.19,-0.34
Vital Borkelmans,1994,Belgium,-0.39,-0.62,-0.06,-0.73,-1.14,-0.74,-0.82,-1.04,-0.8,-0.87,-0.55,-0.58,-0.66,-0.86,-0.46,-0.45
Alvaro Peña,1994,Bolivia,-0.39,-0.54,-0.6,-0.73,-1.34,-1.22,-0.82,-1.04,-0.97,-0.87,-0.72,-0.58,-0.66,-1.18,-0.67,-0.88
Carlos Borja,1994,Bolivia,-0.39,-0.45,-0.6,-0.1,0.51,0.29,-0.47,0.03,-0.24,-0.53,0.84,-0.58,0.67,1.36,0.61,-0.45
Carlos Trucco,1994,Bolivia,-0.39,-0.62,-0.6,-0.73,0.03,2.19,-0.82,-0.83,-0.97,-0.87,-0.05,-0.58,-0.66,-1.18,0.61,-0.88
Erwin Sánchez,1994,Bolivia,1.36,1.18,2.98,0.06,0.76,0.06,3.04,3.25,-0.97,-0.87,-0.72,-0.58,-0.66,0.94,3.61,1.0
Gustavo Quinteros,1994,Bolivia,-0.39,-0.37,-0.6,0.22,0.07,0.46,-0.82,1.32,-0.06,0.53,1.51,0.24,0.0,-0.33,-0.67,-0.88
Jaime Moreno,1994,Bolivia,-0.39,0.15,-0.6,0.86,-1.17,-1.16,-0.12,-0.62,-0.97,-0.87,-0.72,-0.58,-0.66,-1.18,-0.67,-0.74
José Melgar,1994,Bolivia,-0.39,-0.41,-0.6,-0.41,2.46,0.4,0.93,2.17,1.44,-0.36,-0.05,-0.58,-0.66,-0.75,0.19,-0.81
Juan Peña,1994,Bolivia,-0.39,-0.62,-0.6,-0.73,-0.44,-0.12,-0.82,-0.62,0.2,-0.53,0.4,-0.58,-0.66,-1.18,0.61,-0.63
Julio Baldivieso,1994,Bolivia,-0.39,0.24,-0.6,0.38,-0.5,-0.58,0.23,-0.62,-0.63,-0.28,-0.72,-0.58,-0.66,-0.33,1.9,-0.45
Luis Cristaldo,1994,Bolivia,-0.39,-0.45,0.83,-0.1,-0.35,-0.29,0.93,0.89,0.42,0.36,0.17,-0.58,0.0,0.94,0.19,-0.2
Luis Ramallo,1994,Bolivia,-0.39,0.36,-0.6,-0.1,-0.65,-1.04,-0.82,-0.83,-0.44,-0.36,-0.72,-0.58,0.67,-0.33,1.04,-0.2
Marco Sandy,1994,Bolivia,-0.39,-0.49,-0.6,-0.41,0.59,0.86,-0.82,0.03,1.05,1.27,2.18,2.57,0.0,-0.75,2.32,-0.7
Mauricio Ramos,1994,Bolivia,-0.39,-0.41,0.83,-0.73,-0.98,-1.04,-0.82,-1.04,-0.19,-0.87,-0.5,-0.58,-0.66,-1.18,-0.24,-0.23
Miguel Angel Rimba,1994,Bolivia,-0.39,-0.49,-0.6,-0.73,1.96,2.37,-0.12,1.53,1.44,2.02,2.63,5.71,0.0,0.52,0.61,-0.41
Modesto Soruco,1994,Bolivia,-0.39,-0.62,-0.6,-0.57,-0.71,-0.75,-0.82,-0.4,-0.57,-0.53,-0.72,-0.58,-0.66,-0.33,-0.24,-0.88
Vladimir Soria,1994,Bolivia,-0.39,-0.32,-0.6,-0.73,0.74,-0.46,0.58,0.03,0.92,0.16,-0.27,0.24,0.0,2.64,0.61,-0.59
Aldair,1994,Brazil,-0.39,-0.57,-0.6,-0.54,1.5,0.84,-0.39,-0.25,1.69,2.0,2.02,-0.14,1.52,0.56,-0.4,-0.88
Bebeto,1994,Brazil,1.76,1.63,1.16,2.06,0.35,-0.01,0.76,0.62,-0.2,-0.59,-0.72,-0.58,-0.39,-0.14,0.65,2.02
Branco,1994,Brazil,0.33,0.31,-0.01,-0.34,0.21,0.15,-0.25,0.89,-0.79,-0.35,-0.35,-0.58,-0.39,-0.31,1.0,-0.62
Cafu,1994,Brazil,-0.39,-0.57,0.57,-0.47,-0.74,-0.41,-0.54,-0.25,-0.24,-0.24,-0.45,0.24,-0.66,-0.31,-1.1,-0.22
Cláudio Taffarel,1994,Brazil,-0.39,-0.62,-0.6,-0.73,-0.03,1.55,-0.82,-0.69,-0.97,-0.72,-0.72,-0.58,-0.66,-1.18,-0.92,-0.75
Dunga,1994,Brazil,-0.39,0.08,0.86,-0.28,3.68,2.97,-0.25,-0.08,6.66,4.05,-0.08,-0.58,0.15,0.73,0.48,0.3
Jorginho,1994,Brazil,-0.39,-0.47,1.16,-0.21,1.19,1.36,0.47,1.5,1.98,1.91,0.1,-0.58,0.97,0.38,-0.22,0.86
Leonardo,1994,Brazil,-0.39,-0.47,-0.31,-0.21,0.58,1.05,0.32,0.45,-0.06,0.57,-0.45,-0.58,-0.39,-1.18,-0.75,-0.11
Mauro Silva,1994,Brazil,-0.39,-0.47,-0.6,-0.6,1.65,0.82,0.9,0.01,3.75,2.23,-0.26,-0.58,-0.12,0.56,0.13,-0.41
Mazinho,1994,Brazil,-0.39,-0.27,-0.01,-0.28,0.91,0.08,0.61,0.01,1.33,0.28,-0.35,-0.58,-0.12,-0.48,0.48,0.01
Márcio Santos,1994,Brazil,0.33,0.45,-0.6,-0.08,1.56,1.17,-0.68,0.1,0.89,2.63,1.93,3.3,3.16,0.38,0.13,-0.79
Raí,1994,Brazil,0.33,0.76,-0.6,-0.21,0.06,-0.51,0.76,0.54,1.59,-0.23,-0.72,0.07,-0.39,0.73,0.13,-0.19
Ricardo Rocha,1994,Brazil,-0.39,-0.62,-0.6,-0.73,-1.15,-0.88,-0.68,-0.78,-0.66,-0.2,-0.63,-0.58,-0.39,-1.0,-0.92,-0.88
Romário,1994,Brazil,3.19,4.74,-0.01,3.95,-0.06,-0.91,2.62,0.62,-0.76,-0.69,-0.72,-0.58,-0.12,0.04,0.83,2.69
Zinho,1994,Brazil,-0.39,-0.31,1.16,-0.02,1.15,0.04,1.62,1.24,1.17,-0.4,-0.72,-0.58,0.43,-0.66,0.48,1.15
Boncho Genchev,1994,Bulgaria,-0.39,-0.59,-0.6,-0.73,-1.41,-1.19,-0.82,-1.04,-0.97,-0.79,-0.72,-0.58,-0.66,-1.0,-0.92,-0.88
Borislav Mihailov,1994,Bulgaria,-0.39,-0.62,-0.6,-0.73,-0.32,1.15,-0.82,-0.96,-0.97,-0.74,-0.35,-0.58,-0.66,-1.18,-0.57,-0.88
Daniel Borimirov,1994,Bulgaria,0.33,-0.1,-0.31,-0.67,-0.49,-0.48,-0.39,-0.78,-0.55,-0.53,-0.26,-0.17,-0.12,-0.83,-0.92,-0.66
Emil Kostadinov,1994,Bulgaria,-0.39,0.76,-0.6,1.41,-0.45,-0.91,-0.25,0.01,-0.44,-0.61,-0.63,-0.25,-0.66,0.9,-0.22,-0.28
Emil Kremenliev,1994,Bulgaria,-0.39,-0.61,-0.01,-0.73,-0.34,0.25,-0.68,-0.61,-0.2,-0.27,-0.08,-0.17,-0.12,0.56,-0.4,-0.41
Hristo Stoichkov,1994,Bulgaria,3.91,5.42,0.28,0.96,0.03,-0.46,0.76,0.27,-0.37,-0.54,-0.54,-0.58,-0.39,0.9,2.4,0.52
Ilian Kiriakov,1994,Bulgaria,-0.39,-0.55,-0.6,-0.67,0.65,0.89,-0.25,-0.34,-0.18,0.18,0.47,-0.25,-0.66,-0.66,0.83,-0.66
Ivailo Yordanov,1994,Bulgaria,-0.39,-0.38,-0.31,-0.41,-0.46,-0.36,-0.82,-0.34,-0.06,-0.12,-0.08,0.25,-0.39,-1.0,-0.05,-0.57
Krassimir Balakov,1994,Bulgaria,-0.39,0.76,2.91,-0.02,1.94,1.41,3.63,3.35,0.48,0.94,-0.26,-0.58,0.97,0.73,1.7,2.54
Nasko Sirakov,1994,Bulgaria,0.33,0.18,-0.6,0.24,-0.22,-0.93,0.47,-0.25,-0.59,0.14,-0.54,-0.58,-0.66,0.38,0.65,-0.05
Petr Houbtchev,1994,Bulgaria,-0.39,-0.62,-0.6,-0.73,0.46,0.58,-0.82,-0.78,-0.18,0.21,2.02,2.02,-0.12,0.04,-0.05,-0.84
Plamen Nikolov,1994,Bulgaria,-0.39,-0.62,-0.6,-0.73,-1.38,-1.1,-0.82,-1.04,-0.97,-0.87,-0.63,-0.58,-0.66,-1.18,-1.1,-0.88
Trifon Ivanov,1994,Bulgaria,-0.39,-0.52,-0.6,-0.6,-0.51,-0.06,-0.54,-0.52,0.96,1.22,0.65,1.6,0.15,1.08,-0.05,-0.65
Tzanko Tzvetanov,1994,Bulgaria,-0.39,-0.61,-0.31,-0.73,0.4,0.44,-0.11,0.01,0.49,0.29,0.83,-0.58,0.43,0.56,0.65,-0.42
Yordan Letchkov,1994,Bulgaria,1.05,-0.27,-0.6,-0.15,1.06,0.77,1.91,1.06,2.15,0.19,0.01,0.1,-0.12,0.73,2.4,0.42
Zlatko Yankov,1994,Bulgaria,-0.39,-0.29,-0.31,-0.41,1.13,0.27,-0.25,-0.25,1.12,0.52,1.11,0.18,0.43,1.08,-0.05,-0.47
Alphonse Tchami,1994,Cameroon,-0.39,-0.28,-0.6,-0.41,-1.17,-1.16,-0.82,-0.62,-0.97,-0.87,-0.72,-0.58,-0.66,-1.18,-0.24,-0.88
Andre Kana-Biyik,1994,Cameroon,-0.39,-0.37,-0.6,-0.73,-0.92,-0.87,-0.47,-1.04,-0.72,-0.23,-0.27,-0.58,-0.66,-0.33,-1.1,-0.45
David Embé,1994,Cameroon,1.36,0.75,-0.6,0.54,-0.65,-0.98,-0.47,-0.83,-0.22,-0.45,-0.72,-0.58,-0.66,-0.75,-1.1,-0.3
Emile Mbouh Mbouh,1994,Cameroon,-0.39,-0.62,-0.6,-0.73,0.59,0.17,-0.82,-0.19,0.06,-0.09,-0.27,0.71,2.01,-0.33,1.04,-0.34
François Omam-Biyik,1994,Cameroon,1.36,1.52,0.83,3.24,0.28,-0.7,0.93,0.24,0.07,-0.66,-0.27,-0.58,4.01,-1.18,-0.24,2.77
Hans Agbo,1994,Cameroon,-0.39,-0.62,2.26,-0.73,0.64,1.15,0.58,1.75,0.52,-0.26,-0.05,-0.58,0.67,-0.33,-0.67,0.96
Jacques Songo'o,1994,Cameroon,-0.39,-0.62,-0.6,-0.73,-1.04,-0.46,-0.82,-1.04,-0.97,-0.87,-0.27,-0.58,-0.66,-1.18,-1.1,-0.59
Joseph Antoine Bell,1994,Cameroon,-0.39,-0.62,-0.6,-0.73,-0.31,0.92,-0.82,-1.04,-0.82,-0.87,-0.72,-0.58,-0.66,-0.75,-0.24,-0.88
Louis Mfede,1994,Cameroon,-0.39,-0.11,0.12,-0.73,-0.23,-0.35,1.28,-0.62,-0.97,-0.74,-0.72,-0.58,-0.66,-0.75,1.47,0.46
Marc-Vivien Foé,1994,Cameroon,-0.39,-0.15,-0.6,0.22,0.41,-0.12,0.58,-0.62,1.13,0.16,0.62,0.46,0.0,3.06,-0.67,-0.12
Raymond Kalla,1994,Cameroon,-0.39,-0.58,-0.6,0.22,0.15,0.63,-0.12,0.24,1.64,0.08,1.51,0.71,0.67,1.36,0.19,-0.45
Rigobert Song,1994,Cameroon,-0.39,-0.62,-0.6,-0.73,-0.37,-0.35,-0.82,-0.4,0.07,-0.48,1.29,-0.58,0.0,0.09,-1.1,-0.41
Roger Milla,1994,Cameroon,1.36,0.19,-0.6,0.54,-1.11,-1.16,-0.12,-0.4,-0.97,-0.87,-0.72,-0.58,-0.66,-0.75,0.19,0.64
Stephen Tataw Eta,1994,Cameroon,-0.39,-0.62,0.12,0.06,1.52,3.23,-0.47,0.24,1.04,-0.27,0.62,0.69,0.0,0.52,-0.67,0.09
Thomas Libiih,1994,Cameroon,-0.39,-0.11,-0.6,-0.41,0.68,-0.23,0.58,0.24,-0.13,-0.05,-0.05,1.73,-0.66,2.64,-0.24,-0.23
Victor Ndip Akem,1994,Cameroon,-0.39,-0.62,-0.6,-0.73,-0.9,-0.52,-0.47,-1.04,-0.0,-0.23,-0.27,0.46,-0.66,-0.75,-1.1,-0.3
Adolfo Valencia,1994,Colombia,3.11,2.17,0.83,2.29,0.43,-0.52,0.93,-0.19,-0.45,-0.04,-0.72,1.6,0.0,0.52,1.47,2.3
Alexis Mendoza,1994,Colombia,-0.39,-0.62,-0.6,-0.73,-0.44,-0.35,-0.82,-0.83,-0.97,-0.87,-0.27,-0.58,-0.66,-0.33,-0.67,-0.88
Andrés Escobar,1994,Colombia,-0.39,-0.62,-0.6,-0.41,2.04,2.13,-0.47,0.89,0.48,4.51,0.84,3.5,0.0,0.09,-0.67,-0.38
Anthony de Ávila,1994,Colombia,-0.39,0.54,-0.6,0.86,-1.02,-1.1,-0.12,-0.83,-0.97,-0.87,-0.72,-0.58,0.0,-0.75,-0.67,-0.77
Carlos Valderrama,1994,Colombia,-0.39,0.71,0.83,0.86,4.5,4.56,1.63,0.24,1.04,0.03,-0.72,-0.58,-0.66,0.52,1.9,5.13
Faustino Asprilla,1994,Colombia,-0.39,0.75,0.12,2.92,0.76,-0.52,3.39,0.89,1.0,1.8,-0.72,-0.58,-0.66,1.36,1.9,2.45
Freddy Rincon,1994,Colombia,-0.39,2.3,1.55,1.33,1.88,0.4,3.39,-0.62,1.55,1.82,-0.72,-0.58,0.0,-0.75,-0.24,2.41
Gabriel Gomez,1994,Colombia,-0.39,-0.62,-0.6,-0.73,-0.2,-0.52,-0.82,-1.04,2.14,0.05,-0.72,-0.58,-0.66,0.09,-1.1,-0.56
Herman Gaviria,1994,Colombia,1.36,0.75,-0.6,0.22,0.32,-0.35,-0.12,-0.83,0.98,0.91,-0.05,1.46,-0.66,-0.75,-0.67,-0.7
Ivan Valenciano,1994,Colombia,-0.39,-0.07,-0.6,0.54,-1.3,-1.22,-0.47,-1.04,-0.46,-0.87,-0.72,-0.58,-0.66,-0.33,-1.1,-0.41
Leonel Alvarez,1994,Colombia,-0.39,-0.58,-0.6,-0.41,4.12,2.31,-0.47,0.03,4.44,4.02,-0.05,-0.58,0.0,2.64,-0.67,-0.56
Luis Carlos Perea,1994,Colombia,-0.39,-0.62,-0.6,-0.57,0.41,-0.06,0.23,-1.04,2.09,1.4,0.17,-0.58,2.01,0.52,-1.1,-0.59
Luis Fernando Herrera,1994,Colombia,-0.39,-0.62,0.12,-0.41,2.7,3.06,0.23,1.32,0.57,3.92,-0.27,-0.58,0.0,0.94,-0.67,-0.05
Wilson Enrique Perez,1994,Colombia,-0.39,0.28,0.83,-0.41,2.44,2.94,0.58,0.89,2.46,1.34,-0.27,-0.58,-0.66,0.09,0.61,0.35
Óscar Córdoba,1994,Colombia,-0.39,-0.62,-0.6,-0.73,0.17,2.19,-0.82,-1.04,-0.97,-0.87,-0.72,-0.58,-0.66,-1.18,-1.1,-0.88
Andreas Brehme,1994,Germany,-0.39,-0.49,1.12,-0.25,0.7,1.45,-0.82,-0.53,0.62,0.05,-0.32,0.42,-0.66,-0.16,-1.1,0.98
Andreas Möller,1994,Germany,-0.39,0.2,0.69,0.13,-0.09,-0.42,0.44,1.14,0.42,-0.21,-0.72,-0.58,-0.26,1.11,0.7,0.4
